Sections,PainterCount,InputSize,SuccessfulReps,DpMedianMs,GreedyMedianMs,RatioMean,RatioMax
4,8,12,1,0.05319999763742089,0.031299998227041215,1.0,1.0
6,12,18,1,0.11900000390596688,0.029499999072868377,1.0,1.0
8,16,24,1,0.46190000284696,0.05759999476140365,1.0,1.0
10,20,30,1,2.3223999960464425,0.043000000005122274,1.3333333333333333,1.3333333333333333
12,24,36,1,20.472899996093474,0.05989999772282317,1.0,1.0
14,28,42,1,64.74570000136737,0.043000000005122274,1.0,1.0
16,32,48,1,229.03260000020964,0.06659999780822545,1.3636363636363635,1.3636363636363635
18,36,54,0,nan,nan,nan,nan
20,40,60,1,4509.271100003389,0.08059999527176842,1.0,1.0
